"","SITECODE","PERIOD","Site_P","COMMENTS","Start","End","RANGE","MID"
"786","RWG94",2,"RWG94-2","[? B1]",NA,NA,NA,NA
"787","RWT93",0,"RWT93-0","NOT USED",NA,NA,NA,NA
"788","RWT93",6,"RWT93-6","'dark earth', ceramic dates 270-400",270,NA,NA,NA
"789","RWT93",7,"RWT93-7","[? ""OA?""]",NA,NA,NA,NA
"790","SAJ98",1,"SAJ98-1","EARLY ACTIVITY (PRE C 1150)",NA,1150,NA,NA
"791","SAN95",5,"SAN95-5","",NA,NA,NA,NA
"792","SAN95",7,"SAN95-7","",NA,NA,NA,NA
"793","SAN95",8,"SAN95-8","",NA,NA,NA,NA
"794","SAT00",1,"SAT00-1","NATURAL",NA,NA,NA,NA
"795","SAT00",3,"SAT00-3","MEDIEVAL GRAVEYARD OUTSIDE THE PRE-FIRE CATHEDRAL",NA,NA,NA,NA
"796","SAT00",4,"SAT00-4","PRE-FIRE MASONRY, POSSIBLY CATHEDRAL FOUNDATION",NA,1666,NA,NA
"797","SAT00",5,"SAT00-5","WREN CONSTRUCTION PERIOD",NA,NA,NA,NA
"798","SAT00",6,"SAT00-6","POST WREN PERIOD BURIALS AND FLOORS",NA,NA,NA,NA
"799","SB76",1,"SB76-1","Natural",NA,NA,NA,NA
"800","SB76",2,"SB76-2","Pre-Roman activity to c. AD 50",NA,50,NA,NA
"801","SBH88",1,"SBH88-1","NATURAL DEPOSITION",NA,NA,NA,NA
"802","SBH88",5,"SBH88-5","",NA,NA,NA,NA
"803","SCC77",1,"SCC77-1","Natural",NA,NA,NA,NA
"804","SCT87",0,"SCT87-0","",NA,NA,NA,NA
"805","SCT87",1,"SCT87-1","",NA,NA,NA,NA
"806","SCT87",2,"SCT87-2","",NA,NA,NA,NA
"807","SCT87",3,"SCT87-3","",NA,NA,NA,NA
"808","SCT87",4,"SCT87-4","",NA,NA,NA,NA
"809","SCT87",5,"SCT87-5","",NA,NA,NA,NA
"810","SCT87",6,"SCT87-6","",NA,NA,NA,NA
"811","SCT87",7,"SCT87-7","",NA,NA,NA,NA
"812","SCT87",8,"SCT87-8","",NA,NA,NA,NA
"813","SDX07",1,"SDX07-1","Geology and natural topography",NA,NA,NA,NA
"814","SFH00",1,"SFH00-1","",NA,NA,NA,NA
"815","SFH00",2,"SFH00-2","",NA,NA,NA,NA
"816","SFH00",3,"SFH00-3","",NA,NA,NA,NA
"817","SFH00",4,"SFH00-4","",NA,NA,NA,NA
"818","SFH00",5,"SFH00-5","",NA,NA,NA,NA
"819","SFH00",6,"SFH00-6","",NA,NA,NA,NA
"820","SFH00",7,"SFH00-7","",NA,NA,NA,NA
"821","SFY07",1,"SFY07-1","PRE-MEDIEVAL TOPOGRAPHY",NA,1066,NA,NA
"822","SGA89",0,"SGA89-0","",NA,NA,NA,NA
"823","SGY05",0,"SGY05-0","",NA,NA,NA,NA
"824","SGY05",1,"SGY05-1","PLEISTOCENE TERRACE GRAVELS",NA,NA,NA,NA
"825","SGY05",2,"SGY05-2","HOLOCENE  PREHIST WETLAND/FLUVIAL DEPOSITS",NA,NA,NA,NA
"826","SIC06",0,"SIC06-0","",NA,NA,NA,NA
"827","SIC06",1,"SIC06-1","NATURAL GRAVELS WITH OCCASIONAL BRICKEARTH REMNANTS, ALSO OCCASIONAL SOIL HORIZONS",NA,NA,NA,NA
"828","SJS86",1,"SJS86-1","PERIOD X1, NATURAL GEOLOGICAL DEPOSITS",NA,NA,NA,NA
"829","SKS88",0,"SKS88-0","",NA,NA,NA,NA
"830","SKS88",1,"SKS88-1","Natural",NA,NA,NA,NA
"831","SLY00",0,"SLY00-0","",NA,NA,NA,NA
"832","SLY00",1,"SLY00-1","Geology and topography of the study area to c AD 43",NA,43,NA,NA
"833","SLY00",10,"SLY00-10","[beyond end of list in Monograph 32]",NA,NA,NA,NA
"834","SLY00",11,"SLY00-11","[beyond end of list in Monograph 32]",NA,NA,NA,NA
"835","SLY00",12,"SLY00-12","[beyond end of list in Monograph 32]",NA,NA,NA,NA
"836","SLY00",9,"SLY00-9","[beyond end of list in Monograph 32]",NA,NA,NA,NA
"837","SMD01",0,"SMD01-0","NATURAL STRATA",NA,NA,NA,NA
"838","SMD01",1,"SMD01-1","NATURAL OR EARLY UNDATABLE FEATURES",NA,NA,NA,NA
"839","SMD01",9,"SMD01-9","",NA,NA,NA,NA
"840","SNQ99",1,"SNQ99-1","EARLY ACTIVITY PRE C 1150",NA,1150,NA,NA
"841","SNS87",0,"SNS87-0","",NA,NA,NA,NA
"842","SNS87",1,"SNS87-1","",NA,NA,NA,NA
"843","SNS87",2,"SNS87-2","",NA,NA,NA,NA
"844","SNS87",3,"SNS87-3","",NA,NA,NA,NA
"845","SNS87",4,"SNS87-4","",NA,NA,NA,NA
"846","SNS87",5,"SNS87-5","",NA,NA,NA,NA
"847","SNS87",6,"SNS87-6","",NA,NA,NA,NA
"848","SNS87",7,"SNS87-7","",NA,NA,NA,NA
"849","SNS87",8,"SNS87-8","",NA,NA,NA,NA
"850","SOH84",0,"SOH84-0","",NA,NA,NA,NA
"851","SOH84",1,"SOH84-1","Natural",NA,NA,NA,NA
"852","SOH84",2,"SOH84-2","Pre-Roman activity to c. AD 50",NA,50,NA,NA
"853","SOM88",1,"SOM88-1","NATURAL SUBSOIL 'BRICKEARTH AND GRAVEL AT 9.98M OD (TP14)",NA,NA,NA,NA
"854","SON85",0,"SON85-0","MULTI-PERIOD OR PERIOD UNKNOWN",NA,NA,NA,NA
"855","SON85",1,"SON85-1","NATURAL GEOLOGY",NA,NA,NA,NA
"856","SON85",100,"SON85-100","NATURAL TOPOGRAPHY = PERIOD 1 IN MOLA MONOGRAPHS 37-38",NA,NA,NA,NA
"857","SPC94",0,"SPC94-0","",NA,NA,NA,NA
"858","SPD85",0,"SPD85-0","",NA,NA,NA,NA
"859","SPD85",13,"SPD85-13","",NA,NA,NA,NA
"860","SPD85",14,"SPD85-14","",NA,NA,NA,NA
"861","SPD85",4,"SPD85-4","",NA,NA,NA,NA
"862","SPT82",0,"SPT82-0","",NA,NA,NA,NA
"863","SPT85",0,"SPT85-0","",NA,NA,NA,NA
"864","SQU94",0,"SQU94-0","",NA,NA,NA,NA
"865","SRP98",0,"SRP98-0","",NA,NA,NA,NA
"866","SSA01",0,"SSA01-0","",NA,NA,NA,NA
"867","SSA01",10,"SSA01-10","",NA,NA,NA,NA
"868","SSA01",11,"SSA01-11","",NA,NA,NA,NA
"869","SSA01",4,"SSA01-4","",NA,NA,NA,NA
"870","SSA01",6,"SSA01-6","",NA,NA,NA,NA
"871","SSA01",7,"SSA01-7","",NA,NA,NA,NA
"872","SSE94",0,"SSE94-0","",NA,NA,NA,NA
"873","SSF97",1,"SSF97-1","UNDATED ACTIVITY
			",NA,NA,NA,NA
"874","SSF97",2,"SSF97-2","POSSIBLE PREHISTORIC ACTIVITY",NA,NA,NA,NA
"875","STE95",0,"STE95-0","",NA,NA,NA,NA
"876","STE95",2,"STE95-2","",NA,NA,NA,NA
"877","STS88",0,"STS88-0","",NA,NA,NA,NA
"878","STS88",1,"STS88-1","NATURAL GRAVELS",NA,NA,NA,NA
"879","STU92",0,"STU92-0","",NA,NA,NA,NA
"880","SVA10",7,"SVA10-7","",NA,NA,NA,NA
"881","SWI97",0,"SWI97-0","",NA,NA,NA,NA
"882","SYM88",0,"SYM88-0","",NA,NA,NA,NA
"883","SYM88",1,"SYM88-1","Topography and prehistoric activity",NA,43,NA,NA
"884","SYV04",1,"SYV04-1","NATURAL LANDSCAPE AND PREHISTORIC ACTIVITY",NA,43,NA,NA
"885","SYV04",10,"SYV04-10","UNDATED FEATURES",NA,NA,NA,NA
"886","SYV04",304,"SYV04-304","",NA,NA,NA,NA
"887","TEA98",1,"TEA98-1","NATURAL SANDS, GRAVEL (10.10-10.54) & BRICKEARTH (11.13 - 12.09) & ICEWEDGE!",NA,NA,NA,NA
"888","TEQ10",1,"TEQ10-1","PERIOD 1 NATURAL. LONDON CLAY AND 'CLEAN' FORESHORE SANDS AND GRAVEL",NA,NA,NA,NA
"889","TEQ10",2,"TEQ10-2","PERIOD 2 EARLY HISTORIC FORESHORE",NA,NA,NA,NA
"890","TEST",0,"TEST-0","",NA,NA,NA,NA
"891","TOB95",1,"TOB95-1","Natural",NA,NA,NA,NA
"892","TOB95",2,"TOB95-2","Pre-Roman activity to c. AD 50",NA,50,NA,NA
"893","TOM95",0,"TOM95-0","[? OA4-9, S1, S4]",NA,NA,NA,NA
"894","TRE91",3,"TRE91-3","",NA,NA,NA,NA
"895","TRH08",0,"TRH08-0","UNDATABLE - NO DATING EVIDENCE AND/OR STRAT REFERENCE",NA,NA,NA,NA
"896","TRH08",1,"TRH08-1","NATURAL",NA,NA,NA,NA
"897","TRH08",8,"TRH08-8","REDUNDANT, ORIGNALLY DISUSE OF PERIOD 7",NA,NA,NA,NA
"898","TSQ88",1,"TSQ88-1","NATURAL",NA,NA,NA,NA
"899","TWE98",1,"TWE98-1","",NA,NA,NA,NA
"900","TWE98",2,"TWE98-2","",NA,NA,NA,NA
"901","TWE98",3,"TWE98-3","",NA,NA,NA,NA
"902","TWE98",4,"TWE98-4","",NA,NA,NA,NA
"903","TWE98",5,"TWE98-5","",NA,NA,NA,NA
"904","TWE98",6,"TWE98-6","",NA,NA,NA,NA
"905","TWE98",7,"TWE98-7","",NA,NA,NA,NA
"906","TYT98",1,"TYT98-1","PREHISTORIC",NA,43,NA,NA
"907","UNE03",1,"UNE03-1","NATURAL SAND",NA,NA,NA,NA
"908","UNE03",2,"UNE03-2","PREHISTORIC / LATE IRON AGE PIT, REWORKED SAND NATURAL & ARD MARKS",NA,NA,NA,NA
"909","UNE03",3,"UNE03-3","EARLY POST/STAKE HOLE & BEAM SLOT STRUCTURES /  ANIMAL ENCLOSURES?",NA,NA,NA,NA
"910","UP-GS83",0,"UP-GS83-0","",NA,NA,NA,NA
"911","UP-HH89",0,"UP-HH89-0","",NA,NA,NA,NA
"912","UP-HH89",1,"UP-HH89-1","NATURAL GEOLOGY AND TOPOGRAPHY",NA,NA,NA,NA
"913","UP-HH89",8,"UP-HH89-8","",NA,NA,NA,NA
"914","UP-HH89C",0,"UP-HH89C-0","",NA,NA,NA,NA
"915","UP-MF83",1,"UP-MF83-1","GEOLOGY AND TOPOGRAPHY",NA,NA,NA,NA
"916","UP-WW82",1,"UP-WW82-1","PLEISTOCENE GEOLOGY",NA,NA,NA,NA
"917","USG94",1,"USG94-1","Natural?",NA,NA,NA,NA
"918","USM06",1,"USM06-1","NATURAL, PREHISTORIC AND ROMAN",NA,410,NA,NA
"919","VBN89",0,"VBN89-0","",NA,NA,NA,NA
"920","VBN89",1,"VBN89-1","Pre-glasshouse activity on the site, before c. 1650",NA,1650,NA,NA
"921","VBN89",4,"VBN89-4","[beyond list in Monograph 28]",NA,NA,NA,NA
"922","VBN89",5,"VBN89-5","[beyond list in Monograph 28]",NA,NA,NA,NA
"923","VBN89",6,"VBN89-6","[beyond list in Monograph 28]",NA,NA,NA,NA
"924","VBN89",7,"VBN89-7","[beyond list in Monograph 28]",NA,NA,NA,NA
"925","VBN89",8,"VBN89-8","[beyond list in Monograph 28]",NA,NA,NA,NA
"926","VIN88",0,"VIN88-0","",NA,NA,NA,NA
"927","VIN88",1,"VIN88-1","Topography and prehistoric activity",NA,43,NA,NA
"928","WAO06",1,"WAO06-1","NATURAL BRICKEARTH AND GRAVEL",NA,NA,NA,NA
"929","WBR88",0,"WBR88-0","",NA,NA,NA,NA
"930","WCE01",1,"WCE01-1","NATURAL GEOLOGY		",NA,NA,NA,NA
"931","WEH95",0,"WEH95-0","",NA,NA,NA,NA
"932","WEH95",12,"WEH95-12","",NA,NA,NA,NA
"933","WET89",1,"WET89-1","Natural",NA,NA,NA,NA
"934","WET89",2,"WET89-2","Pre-Roman activity to c. AD 50",NA,50,NA,NA
"935","WFG54",1,"WFG54-1","",NA,NA,NA,NA
"936","WFG54",2,"WFG54-2","",NA,NA,NA,NA
"937","WFG54",3,"WFG54-3","",NA,NA,NA,NA
"938","WFG54",4,"WFG54-4","",NA,NA,NA,NA
"939","WFG54",6,"WFG54-6","",NA,NA,NA,NA
"940","WFG54",8,"WFG54-8","",NA,NA,NA,NA
"941","WG87",0,"WG87-0","",NA,NA,NA,NA
"942","WG87",1,"WG87-1","Natural",NA,NA,NA,NA
"943","WG87",2,"WG87-2","Pre-Roman activity to c. AD 50",NA,50,NA,NA
"944","WGF79",0,"WGF79-0","",NA,NA,NA,NA
"945","WGF79",1,"WGF79-1","",NA,NA,NA,NA
"946","WGF79",12,"WGF79-12","",NA,NA,NA,NA
"947","WGF79",15,"WGF79-15","",NA,NA,NA,NA
"948","WGF79",16,"WGF79-16","",NA,NA,NA,NA
"949","WGF79",17,"WGF79-17","",NA,NA,NA,NA
"950","WGF79",4,"WGF79-4","",NA,NA,NA,NA
"951","WGF79",8,"WGF79-8","",NA,NA,NA,NA
"952","WHU08",1,"WHU08-1","NATURAL GRAVELS",NA,NA,NA,NA
"953","WHU08",2,"WHU08-2","NATURAL ALLUVIUM TO AD 50",NA,50,NA,NA
"954","WHZ06",1,"WHZ06-1","",NA,NA,NA,NA
"955","WHZ06",2,"WHZ06-2","",NA,NA,NA,NA
"956","WHZ06",3,"WHZ06-3","",NA,NA,NA,NA
"957","WHZ06",4,"WHZ06-4","",NA,NA,NA,NA
"958","WHZ06",5,"WHZ06-5","",NA,NA,NA,NA
"959","WHZ06",6,"WHZ06-6","",NA,NA,NA,NA
"960","WHZ06",7,"WHZ06-7","",NA,NA,NA,NA
"961","WHZ06",8,"WHZ06-8","",NA,NA,NA,NA
"962","WIO01",1,"WIO01-1","",NA,NA,NA,NA
"963","WIO01",5,"WIO01-5","",NA,NA,NA,NA
"964","WIO01",7,"WIO01-7","",NA,NA,NA,NA
"965","WLR97",1,"WLR97-1","",NA,NA,NA,NA
"966","WLR97",4,"WLR97-4","",NA,NA,NA,NA
"967","WLR97",5,"WLR97-5","",NA,NA,NA,NA
"968","WLR97",7,"WLR97-7","",NA,NA,NA,NA
"969","WME06",1,"WME06-1","PRE-MEDIEVAL LANDSCAPE",NA,1066,NA,NA
"970","WOO97",0,"WOO97-0","NATURAL BRICKEARTH AND SANDS & GRAVELS",NA,NA,NA,NA
"971","WOO97",1,"WOO97-1","Upto AD 43",NA,43,NA,NA
"972","WPO08",1,"WPO08-1","ALLUVIAL SEQUENCE, PREHISTORIC TO EARLY POST-MEDIEVAL",NA,NA,NA,NA
"973","WRX08",0,"WRX08-0","",NA,NA,NA,NA
"974","WSD89",1,"WSD89-1","",NA,NA,NA,NA
"975","WSD89",2,"WSD89-2","",NA,NA,NA,NA
"976","WSD89",9,"WSD89-9","",NA,NA,NA,NA
"977","WSI97",0,"WSI97-0","",NA,NA,NA,NA
"978","WSI97",1,"WSI97-1","NATURAL",NA,NA,NA,NA
"979","WSS94",0,"WSS94-0","",NA,NA,NA,NA
"980","WT-SMA05",1,"WT-SMA05-1","",NA,NA,NA,NA
"981","WT-SMA05",2,"WT-SMA05-2","",NA,NA,NA,NA
"982","WT-SMA05",3,"WT-SMA05-3","",NA,NA,NA,NA
"983","WT-SMA05",4,"WT-SMA05-4","",NA,NA,NA,NA
"984","WT-SMA05",5,"WT-SMA05-5","",NA,NA,NA,NA
"985","WT-SMA05",6,"WT-SMA05-6","",NA,NA,NA,NA
"986","WUS92",0,"WUS92-0","",NA,NA,NA,NA
"987","WUS92",12,"WUS92-12","",NA,NA,NA,NA
"988","XRW10",100,"XRW10-100","LONDON CLAY AND PRE IRONWORKS ALLUVIAL/ CHANNEL DEPOSITS",NA,NA,NA,NA
"989","XRW10",101,"XRW10-101","PRE-IRONWORKS STRUCTURE AT THE TOP OF THE ALLUVIAL SEQUENCE",NA,NA,NA,NA
"990","XRW10",201,"XRW10-201","LEVELLING DEPOSITS FOR THE IRONWORKS",NA,NA,NA,NA
"991","XRW10",202,"XRW10-202","IRONWORKS STRUCTURE PRE 1900",NA,1900,NA,NA
"992","XRW10",203,"XRW10-203","IRONWORKS STRUCTURE ONLY INDICATED ON MAPS POST 1900/ INCLUDING LATER IRONWORKS ASSOCIATED DEPOSITS DATING FROM PRE1900 BUT CONTINUING TO BE DEPOSITED POST 1900",NA,NA,NA,NA
"993","XTE12",1,"XTE12-1","NATURAL TOPOGRAPHY = PERIOD 1 IN REPORT",NA,NA,NA,NA
"994","XTE12",201,"XTE12-201","MEDIEVAL CEMETERY PHASE 1",NA,NA,NA,NA
"995","XTE12",202,"XTE12-202","MEDIEVAL CEMETERY PHASE 2",NA,NA,NA,NA
"996","XTE12",203,"XTE12-203","MEDIEVAL CEMETERY PHASE 3",NA,NA,NA,NA
