"","SITECODE","PERIOD","Site_P","COMMENTS","Start","End","RANGE","MID"
"177","CFL94",15,"CFL94-15","",NA,NA,NA,NA
"178","CFL94",16,"CFL94-16","",NA,NA,NA,NA
"179","CFL94",17,"CFL94-17","",NA,NA,NA,NA
"180","CFL94",2,"CFL94-2","",NA,NA,NA,NA
"181","CFL94",3,"CFL94-3","",NA,NA,NA,NA
"182","CFL94",4,"CFL94-4","",NA,NA,NA,NA
"183","CFL94",5,"CFL94-5","",NA,NA,NA,NA
"184","CFL94",6,"CFL94-6","",NA,NA,NA,NA
"185","CFL94",7,"CFL94-7","",NA,NA,NA,NA
"186","CFL94",9,"CFL94-9","",NA,NA,NA,NA
"187","CG87",0,"CG87-0","",NA,NA,NA,NA
"188","CGW05",1,"CGW05-1","PRE-MEDIEVAL LANDSCAPE",NA,1066,NA,NA
"189","CH75",1,"CH75-1","Natural",NA,NA,NA,NA
"190","CH75",2,"CH75-2","Pre-Roman activity to c. AD 50",NA,50,NA,NA
"191","CHJ06",1,"CHJ06-1","",NA,NA,NA,NA
"192","CHJ06",2,"CHJ06-2","",NA,NA,NA,NA
"193","CHJ06",3,"CHJ06-3","",NA,NA,NA,NA
"194","CHJ06",4,"CHJ06-4","",NA,NA,NA,NA
"195","CHJ06",5,"CHJ06-5","",NA,NA,NA,NA
"196","CHWH83",0,"CHWH83-0","",NA,NA,NA,NA
"197","CHWH83",1,"CHWH83-1","Natural",NA,NA,NA,NA
"198","CIC05",1,"CIC05-1","EVERYTHING UP TO 1200",NA,1200,NA,NA
"199","CID90",0,"CID90-0","VOID - NO PERIOD",NA,NA,NA,NA
"200","CID90",100,"CID90-100","NATURAL TOPOGRAPHY = PERIOD 1 IN MOLA MONOGRAPHS 37-38",NA,NA,NA,NA
"201","CII02",1,"CII02-1","EVERYTHING UP TO 1200",NA,1200,NA,NA
"202","CIY98",1,"CIY98-1","UP TO 1200",NA,1200,NA,NA
"203","CLH89",0,"CLH89-0","",NA,NA,NA,NA
"204","CLH89",17,"CLH89-17","",NA,NA,NA,NA
"205","CLH89",7,"CLH89-7","",NA,NA,NA,NA
"206","CLK86",0,"CLK86-0","",NA,NA,NA,NA
"207","CLK86",1,"CLK86-1","",NA,NA,NA,NA
"208","CLK86",2,"CLK86-2","",NA,NA,NA,NA
"209","CLK86",3,"CLK86-3","",NA,NA,NA,NA
"210","CLK86",4,"CLK86-4","",NA,NA,NA,NA
"211","CLK86",5,"CLK86-5","",NA,NA,NA,NA
"212","CLK86",6,"CLK86-6","",NA,NA,NA,NA
"213","CLK86",7,"CLK86-7","",NA,NA,NA,NA
"214","CLK86",8,"CLK86-8","",NA,NA,NA,NA
"215","CM-MFB587",0,"CM-MFB587-0","",NA,NA,NA,NA
"216","CM-MFB587",3,"CM-MFB587-3","",NA,NA,NA,NA
"217","CM-MFB587",3.5,"CM-MFB587-3.5","",NA,NA,NA,NA
"218","CM-MFB587",4,"CM-MFB587-4","",NA,NA,NA,NA
"219","CM-MFB587",5,"CM-MFB587-5","",NA,NA,NA,NA
"220","CM-MFB587",6,"CM-MFB587-6","",NA,NA,NA,NA
"221","CM-MFB587",7,"CM-MFB587-7","",NA,NA,NA,NA
"222","CM-MFB587",8,"CM-MFB587-8","",NA,NA,NA,NA
"223","CNQ01",0,"CNQ01-0","",NA,NA,NA,NA
"224","CNQ01",1,"CNQ01-1","",NA,NA,NA,NA
"225","CNQ01",2,"CNQ01-2","",NA,NA,NA,NA
"226","CNQ01",3,"CNQ01-3","",NA,NA,NA,NA
"227","CNQ01",4,"CNQ01-4","",NA,NA,NA,NA
"228","CNQ01",5,"CNQ01-5","",NA,NA,NA,NA
"229","CNV08",1,"CNV08-1","PRE-ROMAN. NATURAL GEOLOGY AND TOPOGRAPHY",NA,43,NA,NA
"230","CNW97",0,"CNW97-0","",NA,NA,NA,NA
"231","COA86",4,"COA86-4","",NA,NA,NA,NA
"232","COA86",5,"COA86-5","",NA,NA,NA,NA
"233","COW90",3,"COW90-3","",NA,NA,NA,NA
"234","COW90",7,"COW90-7","",NA,NA,NA,NA
"235","COW90",8,"COW90-8","",NA,NA,NA,NA
"236","COW90",9,"COW90-9","",NA,NA,NA,NA
"237","CRODA86",0,"CRODA86-0","",NA,NA,NA,NA
"238","CRODA86",1,"CRODA86-1","Natural",NA,NA,NA,NA
"239","CRODA86",2,"CRODA86-2","Pre-Roman activity to c. AD 50",NA,50,NA,NA
"240","CRODA87",0,"CRODA87-0","",NA,NA,NA,NA
"241","CRODA87",1,"CRODA87-1","",NA,NA,NA,NA
"242","CSSS75",0,"CSSS75-0","",NA,NA,NA,NA
"243","CSU96",0,"CSU96-0","NATURAL",NA,NA,NA,NA
"244","CSU96",1,"CSU96-1","PRE AD1230",NA,1230,NA,NA
"245","CVC03",0,"CVC03-0","",NA,NA,NA,NA
"246","CVC03",1,"CVC03-1","",NA,NA,NA,NA
"247","CVC03",2,"CVC03-2","",NA,NA,NA,NA
"248","CVC03",3,"CVC03-3","",NA,NA,NA,NA
"249","CVF10",1,"CVF10-1","PRE-DOCKYARD, INCLUDING PREHISTORIC, ROMAN, MEDIEVAL AND POST-MEDIEVAL UP TO 1513.",NA,1513,NA,NA
"250","CW83",1,"CW83-1","Natural",NA,NA,NA,NA
"251","CWW97",0,"CWW97-0","",NA,NA,NA,NA
"252","CXH04",0,"CXH04-0","ODDS AND SODS NOT DATED OR IN SEQUENCE",NA,NA,NA,NA
"253","CXH04",1,"CXH04-1","NATURAL",NA,NA,NA,NA
"254","CYQ05",0,"CYQ05-0","",NA,NA,NA,NA
"255","CYQ05",1,"CYQ05-1","",NA,NA,NA,NA
"256","CYQ05",2,"CYQ05-2","",NA,NA,NA,NA
"257","CYQ05",3,"CYQ05-3","",NA,NA,NA,NA
"258","CYQ05",4,"CYQ05-4","",NA,NA,NA,NA
"259","CYQ05",5,"CYQ05-5","",NA,NA,NA,NA
"260","CYQ05",6,"CYQ05-6","",NA,NA,NA,NA
"261","DOC87",0,"DOC87-0","",NA,NA,NA,NA
"262","DOC87",1,"DOC87-1","NATURAL SAND AND GRAVEL",NA,NA,NA,NA
"263","DOC87",100,"DOC87-100","NATURAL TOPOGRAPHY = PERIOD 1 IN MOLA MONOGRAPHS 37-38",NA,NA,NA,NA
"264","DUM09",1,"DUM09-1","NATURAL/PLEISTOCENE",NA,NA,NA,NA
"265","DWA92",0,"DWA92-0","NATURAL DEPOSITS",NA,NA,NA,NA
"266","EAE01",1,"EAE01-1","NATURAL",NA,NA,NA,NA
"267","EAE01",2,"EAE01-2","UNKNOWN",NA,NA,NA,NA
"268","EAE01",301,"EAE01-301","",NA,NA,NA,NA
"269","EAE01",302,"EAE01-302","",NA,NA,NA,NA
"270","ELD88",1,"ELD88-1","",NA,NA,NA,NA
"271","ELD88",2,"ELD88-2","",NA,NA,NA,NA
"272","ELD88",3,"ELD88-3","",NA,NA,NA,NA
"273","ELD88",4,"ELD88-4","",NA,NA,NA,NA
"274","ELD88",5,"ELD88-5","",NA,NA,NA,NA
"275","ELD88",6,"ELD88-6","",NA,NA,NA,NA
"276","ENG84",0,"ENG84-0","",NA,NA,NA,NA
